id,company_name,location,country,website,contact_emails,contact_role,description,employee_estimate,source_platform,source_job
33,NeoMinds Edutech Ltd,"Abuja, Nigeria",Nigeria,https://neominds.ng,info@neominds.ng; careers@neominds.ng,info / careers,Nigerian edtech/software company.,1-20,Indeed,UI/UX Design Intern
34,NomJet,Lagos (remote) / UK ops,Nigeria,https://nomjet.co.uk,info@nomjet.co.uk,info,Food technology company building a social food-commerce platform (hiring remote Nigeria engineers).,~3,LinkedIn,Senior Software Engineer (AI & Mobile)
35,Odixcity Consulting,"Abuja, Nigeria",Nigeria,https://odixcity.com,info@odixcity.com; careers@odixcity.com,info / careers,Abuja tech consultancy posting JavaScript/MERN developer roles (also lists Senegal).,1-50,Indeed,JavaScript Developer
36,Paramount Web,"Abuja, Nigeria",Nigeria,https://paramountweb.com,info@paramountweb.com,info,"Nigerian web design company serving Abuja, Port Harcourt, and Lagos since 2008.",1-20,Indeed,Web Designer
37,Punch Group,"Lagos, Nigeria",Nigeria,https://punch.cool,start@punch.cool; start@punch-agency.com,founder / new business,AI and software engineering digital agency building production web and AI products.,~95,LinkedIn,Full Stack Web Developer
38,PureWeb Technologies,"Abuja, Nigeria",Nigeria,https://pureweb360.com,info@pureweb360.com; sales@pureweb360.com,info / sales,Abuja web and software solutions company.,11-50,Indeed,Web Developer
39,Riby,"Lagos, Nigeria",Nigeria,https://www.riby.ng,info@riby.me; sales@riby.ng; careers@riby.me,info / sales / careers,"Fintech SaaS for cooperatives: thrift, loans, savings, and co-banking management software.",~14,Indeed,Android Developer
40,ROB Technologies,"Abuja, Nigeria",Nigeria,https://robtechnologies.com,info@robtechnologies.com; hello@robtechnologies.com,info / hello,Nigerian software firm posting backend developer roles.,1-50,Indeed,Backend Developer
41,Aeres Technologies Ltd,"Nairobi, Kenya",Kenya,,recruitment@aerestechnologies.co.ke,recruitment,Nairobi digital solutions firm hiring junior fullstack developers.,<50,LinkedIn,Junior Fullstack Developer
42,Arfa Technology Ltd,"Nairobi, Kenya",Kenya,https://arfatechnology.com/,sales@arfatechnology.com,sales,"Nairobi cybersecurity and digital-transformation firm (SOC/MDR, cloud security).",~5,LinkedIn,Senior Frontend Engineer
43,AURIC,Kenya (remote listing),Kenya,https://thinkauric.com/,info@thinkauric.com,info,Gym/payments software company hiring remote QA talent via Kenya LinkedIn jobs.,~5,LinkedIn,Junior Software Quality Assurance Engineer
44,Brupace Digital,"Nairobi, Kenya",Kenya,https://brupacedigital.africa/,info@brupacedigital.africa; hello@brupacedigital.africa,info / hello,"Nairobi creative tech agency for branding, UX/UI, and web/app development.",~12,LinkedIn,Senior Frontend Developer
45,ByteBoon,"Nairobi, Kenya",Kenya,,careers@byteboon.com,careers,Early-stage distributed systems / BoonOS startup hiring in Nairobi.,<20,LinkedIn,Software Engineer
46,Ciriz Digital Services,"Nairobi, Kenya",Kenya,https://cirizdigital.com/,hr@cirizdigital.com,hr,"Nairobi software shop building custom apps, websites, hosting, and integrations.",<50,LinkedIn,Web Developer
47,eKitabu,"Nairobi, Kenya",Kenya,,support@ekitabu.com,support,Digital content and edtech company (~35) hiring software developers.,~35,LinkedIn,Software Developer
48,Ezra,"Nairobi, Kenya",Kenya,https://ezra.world/,info@ezra.world,info,Fintech credit-infrastructure provider with a Nairobi engineering/ops footprint.,~61,LinkedIn,Data Engineer
49,Forty Guard,"Nairobi, Kenya",Kenya,,hr@fortyguard.com,hr,AI automation and cybersecurity-adjacent company hiring remotely from Kenya.,<50,LinkedIn,Software Engineer
50,Hubitable,"Nairobi, Kenya",Kenya,,hi@hubitable.com,hi,Food/health engagement startup hiring software engineers in Nairobi.,<30,LinkedIn,Software Engineer
51,KiliMax Software,"Nairobi, Kenya",Kenya,,georgina.muchoki@kilimax.com,hiring contact,Software/ops clarity startup hiring engineers in Kenya.,<50,LinkedIn,Software Engineer
52,LEYSCO LTD,"Nairobi, Kenya",Kenya,https://leysco.com/,info@leysco.com,info,"Nairobi IT systems consulting and custom software (web/mobile, HRMS/CRM).",~6,LinkedIn,Full Stack Engineer
53,Medbook Africa,"Nairobi, Kenya",Kenya,https://medbookafrica.com,info@medbookafrica.com; md@medbookafrica.com,info / md,Healthtech providing digital healthcare solutions for Kenyan communities and stakeholders.,<50,LinkedIn,Software Developer
54,Nathan Digital,"Nairobi, Kenya",Kenya,https://www.nathandigital.com,info@nathandigital.com,info,"ERP and digital solutions company (HRMS, CRM, accounting) with Kenya delivery presence.",<100,LinkedIn,Fullstack Developer
55,Nyansapo AI,"Nairobi, Kenya",Kenya,https://www.nyansapoai.app/,info@nyansapoai.net,info,Nairobi edtech startup using AI for literacy/numeracy assessments.,<50,LinkedIn,Full Stack Developer
56,Open Function (OpenFn),Kenya / London HQ,Kenya,https://www.openfn.org/,admin@openfn.org,admin,Open-source workflow automation platform for governments/NGOs with Kenya hiring.,~21,LinkedIn,Principal Software Engineer
57,Pawa IT Solutions,"Nairobi, Kenya",Kenya,https://pawait.africa/,support@pawait.africa; careers@pawait.africa,support / careers,Nairobi Google Cloud / Workspace partner and cloud solutions company.,~16,LinkedIn,Graphics & Web Designer
58,Paya Ventures Limited,"Nairobi, Kenya",Kenya,https://www.paya.co.ke/,support@paya.co.ke,support,"Kenya fintech for digital banking, payments APIs, and Buy Now Pay Later.",~50,LinkedIn,Full Stack Engineer
59,Pezesha,"Nairobi, Kenya",Kenya,https://pezesha.com,hello@pezesha.com; jobs@pezesha.com,hello / jobs,MSME embedded finance platform (CBK DCP) for credit and payments.,<100,LinkedIn,Software Engineer
60,PIPOSOFT,"Nairobi, Kenya",Kenya,https://piposoft.co.ke,sales@piposoft.co.ke; connect@piposoft.co.ke,sales,Kenya SME/startup talent acquisition agency posting engineering roles.,<50,LinkedIn,Full Stack Engineer
61,PowWater,"Nairobi, Kenya",Kenya,,recruitment@powwater.com,recruitment,Water access tech startup hiring React engineers in Nairobi.,<50,LinkedIn,React Developer
62,Purple Elephant Ventures,"Nairobi, Kenya",Kenya,,hr@purpleelephant.ventures,hr,"Tech studio building products across ecommerce, fintech, and tourism.",<50,LinkedIn,Senior Engineer
63,Share,"Nairobi, Kenya",Kenya,https://share.inc/,partnerships@share.inc,partnerships,Decentralized/open-access internet network startup with Kenya engineering hiring.,~11,LinkedIn,Founding Engineer
64,Sinbad,"Nairobi, Kenya",Kenya,,careers@sinbad.co.ke,careers,Kenya tech company advertising engineering roles via careers inbox.,<50,LinkedIn,Software Engineer
65,TechGetAfrica,"Nairobi, Kenya",Kenya,https://techgetafrica.com/,hello@techgetafrica.com,hello,"Kenya tech training, software delivery (MVP pods), and talent placement company.",~3,LinkedIn,Senior Fullstack Engineer
66,Tezza Business Solutions,"Nairobi, Kenya",Kenya,https://tezzasolutions.com/,info@tezzasolutions.com,info,"IT services firm for software engineering, QA, cybersecurity, and automation.",~58,LinkedIn,Mid Level Springboot Engineer
67,Tunga,"Nairobi, Kenya",Kenya,https://tunga.io,hello@tunga.io,hello,African IT talent matching platform helping companies source software professionals.,<100,LinkedIn,Founding Full-Stack Engineer
68,Twiva,"Nairobi, Kenya",Kenya,https://twiva.com,info@twiva.co.ke,info,Creator and social commerce platform connecting brands with influencers.,11-50,LinkedIn,Software Engineer
69,Umba,"Nairobi, Kenya",Kenya,https://umba.com/,support@umba.com; management@umba.com,support / management,Nairobi-based digital bank/fintech building lending and payments products.,~58,LinkedIn,Senior Backend Engineer
70,Xobriq Technologies Limited,"Nairobi, Kenya",Kenya,,hr@xobriq.com,hr,"Early-stage cybersecurity, AI, and payments technology company.",<30,LinkedIn,Software Engineer
71,Caliza,"Nairobi, Kenya",Kenya,https://www.caliza.com/,,contact form,Cross-border payments / USD account infrastructure startup hiring in Nairobi.,~13,LinkedIn,Payment Operations and Integrations Engineer
72,Native X,"Nairobi, Kenya",Kenya,https://nativex.no/,,booking form,Norwegian IT consultancy with Nairobi developers serving Scandinavian clients.,2-10,LinkedIn,Full-Stack Developer
73,ASquared,"Brighton, UK",United Kingdom,https://asquared.uk,ideas@asquared.uk,general,B Corp digital product agency in Brighton/Bristol building React and React Native apps.,~12,LinkedIn,Digital Product Manager
74,Atomic Smash,"Bristol, UK",United Kingdom,https://www.atomicsmash.co.uk,mail@atomicsmash.co.uk; david.darke@atomicsmash.co.uk,founder,Bristol WordPress/WooCommerce B Corp agency with an active jobs page.,10-12,LinkedIn,Web Developer
75,AWTG,"London, UK",United Kingdom,https://awtg.co.uk,enquiries@awtg.co.uk,engineering manager,London tech/telecoms software company hiring PHP and backend developers.,<100,Indeed,PHP Developer
76,Beebot AI,"Sale / Manchester, UK",United Kingdom,https://beebotai.com,info@beebotai.com,founders,AI automation SaaS for local government and councils.,~14,Indeed,Website Developer
77,Bespoke Digital Agency,"Chorley / Manchester, UK",United Kingdom,https://bespokedigital.agency,hello@bespokedigital.agency,CEO,"B2B lead-gen web design and digital marketing agency at Strawberry Fields, Chorley.",12-15,Indeed,Web Developer
78,Bolland & Co,"Manchester, UK",United Kingdom,https://www.bolland.co,info@bolland.co,managing director,Manchester digital transformation consultancy building self-service apps and CMS sites.,<50,LinkedIn,PHP WordPress / Craft Developer
79,Bolser,Leeds / Remote UK,United Kingdom,https://bolser.co.uk,info@bolser.co.uk; dominic@bolser.co.uk; jobs@bolser.co.uk,CEO / MD,Leeds digital agency delivering React/Node and headless CMS work for major brands.,<100,LinkedIn,Front End Developer
80,Cake Agency,"Birmingham, UK",United Kingdom,https://www.cake.agency,hello@cake.agency,agency leadership,Shopify Premier Partner ecommerce agency in Birmingham Jewellery Quarter.,~21,Indeed,Digital Designer
81,CDL Software,"Stockport / Manchester, UK",United Kingdom,https://www.cdl.co.uk,hremail@cdl.co.uk,HR / engineering,Insurance/finance software house in Stockport hiring Java/DevOps engineers.,<100,Indeed,Intermediate Software Engineer – Java
82,Chameleon Web Services,"Birmingham, UK",United Kingdom,https://www.chameleon.co.uk,hello@chameleon.co.uk,agency director,"Birmingham web design, WordPress and digital marketing agency.",~15,Indeed,Full Stack Web Developer
83,COHO,Worcester / Remote UK,United Kingdom,https://coho.life,team@coho.life,founders,Proptech SaaS for HMO/coliving property management.,~12,Indeed,Front End Designer
84,Conker Communications,"Manchester, UK",United Kingdom,https://conkercommunications.com,hello@conkercommunications.com,general,Small integrated marketing and digital communications agency in Didsbury.,1-20,LinkedIn,Digital Account Manager
85,Digiryte,"Manchester, UK",United Kingdom,https://digiryte.com,hello@digiryte.com,general,Manchester software development and digital product company for startups and enterprises.,21-50,LinkedIn,Software Developer
86,Enovate Design,Chelmsford / Remote UK,United Kingdom,https://www.enovate.co.uk,hello@enovate.co.uk,CEO,"Small Craft CMS and Laravel/Node digital agency, largely remote.",~8,Indeed,Digital agency developer
87,Fast Web Media,"Manchester, UK",United Kingdom,https://fastwebmedia.com,hello@fastwebmedia.com,CEO,"Manchester digital agency focused on search, technical development and digital.",11-50,Indeed,Web Developer
88,Fifteen Ten,"Bristol, UK",United Kingdom,https://fifteenten.co.uk,info@fifteenten.co.uk,general,Bristol creative digital agency hiring designers for brand and digital work.,1-20,LinkedIn,Graphic Designer
89,Gecko Agency,"Edinburgh, UK",United Kingdom,https://www.wearegecko.co.uk,hello@wearegecko.co.uk,new business,Edinburgh Umbraco/.NET digital agency building websites for UK clients.,11-50,LinkedIn,Full Stack Web Developer
90,Gibe Digital,Bristol / Remote UK,United Kingdom,https://gibe.digital,hello@gibedigital.com,co-owners,Technically led ecommerce and CMS agency building heavier software-side sites.,~14,Indeed,Senior Developer
91,Indiespring,"Manchester, UK",United Kingdom,https://indiespring.com,hello@indiespring.com,MD,Manchester mobile development agency focused on brownfield app maintain/evolve/rebuild.,11-50,Indeed,Mobile developer
92,Jones and Palmer,"Birmingham, UK",United Kingdom,https://www.jonesandpalmer.co.uk,hello@jonesandpalmer.co.uk,head of software,Birmingham corporate communications agency with Umbraco/C# product engineering.,~51,LinkedIn,Umbraco Full Stack Developer
93,Just Chill,Manchester / Remote UK,United Kingdom,https://www.justchillsocial.com,hello@justchillsocial.com,agency director,B2B digital marketing agency for industrial/construction clients; WordPress & Webflow.,<50,LinkedIn,Web Developer (WordPress & Webflow)
94,KAIKAKU,"London, UK",United Kingdom,https://kaikaku.ai,hello@kaikaku.ai,founders,London robotics startup automating restaurant kitchens.,~33,LinkedIn,Software Engineer
95,Kalexiko,"Birmingham, UK",United Kingdom,https://www.kalexiko.com,studio@kalexiko.com,studio / technical director,Birmingham digital agency building LAMP/Laravel web apps and sites.,<50,Indeed,Web Developer
96,Longshot Systems,"London, UK",United Kingdom,https://longshotsystems.co.uk,david@longshotsystems.co.uk,co-founder,Sports betting analytics and trading technology company.,~22,Indeed,Software Engineer
97,MediaBlanket,"Manchester, UK",United Kingdom,https://www.mediablanket.co.uk,hello@mediablanket.co.uk; partners@mediablanket.co.uk,studio lead,Consumer credit lead-gen tech company hiring frontend developers.,<50,Indeed,Frontend Developer
98,Navari Group,"Altrincham / Manchester, UK",United Kingdom,https://navari.co.uk,info@navari.co.uk; hello@navari-group.com,CTO,Greater Manchester software firm building Laravel web systems for care-sector and utilities.,<50,Indeed,Web Developer
99,Oblige IT,"Bolton / Manchester, UK",United Kingdom,https://obligeit.co.uk,sales@obligeit.co.uk,directors,Small Dynamics 365 / Microsoft partner consultancy hiring web developers.,<50,Indeed,Web Developer
100,OH Digital,"Manchester, UK",United Kingdom,https://oh.digital,jobs@ohdigital.co.uk,careers,"Developer-run Manchester web agency focused on PHP, Laravel and WordPress.",1-10,LinkedIn,PHP Web Developer
101,Pixel Kicks,"Manchester, UK",United Kingdom,https://pixelkicks.co.uk,info@pixelkicks.co.uk,general,"Manchester full-service digital agency specialising in Shopify, WordPress and Webflow.",11-21,LinkedIn,Frontend Developer
102,Proctor + Stevenson,"Bristol, UK",United Kingdom,https://proctorsgroup.com,marketing@proctorsgroup.com; recruitment@proctors.co.uk,recruitment,Bristol B2B creative and digital agency hiring Webflow and digital design talent.,~43,LinkedIn,Webflow Developer
103,Reason8 Marketing,"Hinckley / Midlands, UK",United Kingdom,https://reason8agency.co.uk,hello@reason8agency.co.uk; tom@reason8agency.co.uk,founder,Boutique B2B web design and SEO agency for owner-led businesses.,2-10,Indeed,Senior Web Designer & Developer
104,Rejuvenate Digital,"Leeds, UK",United Kingdom,https://rejuvenate.digital,studio@rejuvenate.digital,studio,"Leeds full-service digital agency for web, app, video and digital marketing.",6-18,Indeed,WordPress Developer - Front end
105,Savasaachi Marketing Agency,"Oldham / Manchester, UK",United Kingdom,https://savasaachi.co.uk,hello@savasaachi.com; info@savasaachi.com,agency director,Full-service digital marketing and web design agency in Greater Manchester.,<50,Indeed,Web Designer
106,Series Eight,"Brighton, UK",United Kingdom,https://serieseight.com,info@serieseight.com,general,"Independent digital agency for brand identity, UI and web for SaaS and ecommerce.",~23,LinkedIn,Brand and Digital Designer
107,Soap Media,"Manchester, UK",United Kingdom,https://soapmedia.co.uk,hello@soapmedia.co.uk,agency leadership,Award-winning digital marketing and performance agency with in-house web development.,~19,Indeed,Front End WordPress Developer
108,SoBold,"London, UK",United Kingdom,https://sobold.co.uk,hello@soboldltd.com,CEO,London Bridge boutique website design and development agency.,<10,Indeed,Junior Front End Developer
109,SOJO,"London, UK",United Kingdom,https://www.sojo.uk,careers@sojo.uk,careers,Clothing repair and circular fashion platform with a small engineering team.,<50,Indeed,Lead Software Engineer / Technical Lead
110,Stanhope AI,"London, UK",United Kingdom,https://www.stanhopeai.com,info@stanhopeai.com; press@stanhopeai.com,founders,Deeptech startup applying Active Inference to robotics and embodied autonomous systems.,1-10,LinkedIn,AI Developer – Robotics
111,Studio Cotton,"Bristol, UK",United Kingdom,https://studiocotton.co.uk,hello@studiocotton.co.uk; careers@studiocotton.co.uk,general / careers,Small Bristol web design studio for independent brands and podcasts.,2-10,LinkedIn,Website Designer
112,Tekton Dynamics,"London, UK",United Kingdom,https://tekton-dynamics.com,contact@tekton-dynamics.com,founders,YC W24 physical-AI startup building control layer for welding robots.,<20,LinkedIn,Founding Engineer
113,8seats,"Sydney, Australia",Australia,https://8seats.com,support@8seats.com,support,Team messaging product company hiring QA automation engineers.,<50,Indeed,QA Automation Engineer
114,Actualise Design,"Sydney, Australia",Australia,https://actualisedesign.com,front-end-web-developer@actualisedesign.com,studio lead,Boutique Sydney digital and UX studio hiring front-end developers.,<50,Indeed,Front-End Web Developer
115,Attention Experts,"Melbourne, Australia",Australia,https://attentionexperts.com,info@attentionexperts.com,general,"Digital marketing and social agency with clients across Melbourne, Brisbane and Sydney.",11-50,Indeed,Digital Marketing Specialist
116,Axiom Design Partners,"Perth, Australia",Australia,https://axiom.com.au,hello@axiom.com.au,general,"Subiaco Perth creative studio for brand, digital and environmental design.",5-6,Indeed,Graphic Designer
117,Bigfish,"Brisbane, Australia",Australia,https://bigfish.design,hello@bigfish.design; jobs@bigfish.design,general / careers,Brisbane design and technology studio building custom websites and integrations.,11-50,Indeed,Full-stack Developer
118,Bookipi,Australia (remote-first),Australia,https://bookipi.com,support@bookipi.com,support,Fast-growing invoicing/payroll SaaS startup hiring senior React front-end developers.,<100,Indeed,Senior Front-End Developer
119,Boylen,"Adelaide, Australia",Australia,https://www.boylen.com.au,admin@boylen.com.au,admin,"Adelaide web design, SEO and graphic design agency.",~13,LinkedIn,Web Designer
120,Brevity Pty Ltd,"Sydney, Australia",Australia,https://www.brevity.com.au,info@brevity.com.au; support@brevity.com.au,info / support,NDIS/aged care practice-management SaaS hiring React front-end developers.,<100,Indeed,Frontend Software Developer
121,Convert Digital,"Melbourne, Australia",Australia,https://www.convertdigital.com.au,enquiries@convertdigital.com.au,enquiries,Ecommerce agency specialising in Shopify Plus and headless commerce.,51-99,Indeed,Senior Software Engineer (Back End)
122,CoVet,Australia (remote-first),Australia,https://covet.vet,people@co.vet,people / HR,Veterinary AI copilot startup hiring backend developers.,<25,Indeed,Back-end Developer
123,Dapth,"Perth, Australia",Australia,https://dapth.com,support@dapth.com,support,Perth digital consultancy and software house for government and enterprise systems.,~19,LinkedIn,Full Stack Web Developer
124,Digital Stack,"Melbourne, Australia",Australia,https://digitalstack.io,support@digitalstack.io,engineering lead,Small digital advertising/tech agency hiring React front-end engineers.,~13,Indeed,React Front End Developer
125,Digital8,"Brisbane, Australia",Australia,https://www.digital8.com.au,sales@digital8.com.au; careers@digital8.com.au,sales / careers,"Brisbane digital agency for web, apps, Laravel/React and government platforms.",8-49,Indeed,Mid-Level Laravel Developer
126,Hatchd,"Perth, Australia",Australia,https://www.hatchd.com.au,hello@hatchd.com.au,general,Perth digital product studio designing and building React/Python platforms.,11-50,LinkedIn,Software Developer
127,Hatchet,"Perth, Australia",Australia,https://hatchet.com.au,hello@hatchet.com.au,general,"Perth digital agency for Laravel/WordPress hosting, apps and custom software.",~7,LinkedIn,Web Developer
128,Hello Digital,"Brisbane, Australia",Australia,https://hellodigital.net.au,hello@hellodigital.net.au,general,Brisbane full-service digital marketing agency for SME and enterprise clients.,11-50,Indeed,Digital Marketer
129,Law of the Jungle,"Sydney, Australia",Australia,https://lotj.com,team@lotj.com; careers@lotj.com,team / careers,RegTech/marketing compliance software company hiring AI-native developers.,<50,Indeed,AI-native software developer
130,Lightbulb Digital,"Adelaide, Australia",Australia,https://lightbulb.digital,hello@lightbulb.digital,general,"Adelaide/Sydney web design studio for WordPress, Shopify, Craft and custom apps.",1-15,LinkedIn,Web Developer
131,Lupo Digital,"Sydney, Australia",Australia,https://www.lupodigital.com,info@lupodigital.com; marketing@lupodigital.com,agency / HubSpot lead,"HubSpot partner digital agency for education, luxury and financial services.",<50,Indeed,HubSpot Technical & Web Developer
132,New Leaf Digital,"Adelaide, Australia",Australia,https://newleafdigital.com.au,hello@newleafdigital.com.au,founder,Female-founded Adelaide web design and SEO agency.,1-10,Indeed,Web Designer
133,New Word Order,"Brisbane, Australia",Australia,https://newwordorder.com.au,info@newwordorder.com.au,general,Brisbane purpose-driven creative agency.,11-50,LinkedIn,Copy Director
134,NinjaTech AI,"Sydney, Australia",Australia,https://www.ninjatech.ai,support@ninjatech.ai,support,Agentic AI platform company hiring full-stack software engineers.,<100,Indeed,Full Stack Software Engineer - Agentic AI
135,NotesEdu,"Sydney, Australia",Australia,https://notesedu.com.au,contact@notesedu.com.au,contact,Exam prep EdTech company hiring remote full-stack engineers.,<50,Indeed,Senior Software Engineer (Full Stack) – Remote
136,NOW Digital,"Melbourne, Australia",Australia,https://www.nowdigital.com.au,work@nowdigital.com.au; melbourne@nowdigital.com.au,hiring / principals,"Independent UX-led digital agency building Sitecore, Drupal, WordPress and custom platforms.",~10,Indeed,Front End Developer (Mid-Level)
137,OwnHome,"Sydney, Australia",Australia,https://ownhome.com,hello@ownhome.com; security@ownhome.com,hello,Australian low-deposit home loans PropTech hiring full-stack engineers.,<100,Indeed,Software Engineer (Full stack)
