id,company_name,location,country,website,contact_emails,contact_role,description,employee_estimate,source_platform,source_job
42,Sentius Digital,"Melbourne, Australia",Australia,https://www.sentiusdigital.au,peoplefirst@sentius.com.au; digital@sentius.com.au,people / digital,"Melbourne full-service digital agency for strategy, UX/UI and marketing.",51-99,LinkedIn,Web UX/UI Designer
43,Settify (Corto Pty Ltd),"Sydney, Australia",Australia,https://www.settify.com.au,contact@settify.com,engineering,Legal-tech scale-up building AI intake/triage products for law firms.,~16,Indeed,AI Software Engineer
44,Shockbyte,"Melbourne, Australia",Australia,https://shockbyte.com,support@shockbyte.com,VP product / founders,Australian game-server hosting product company hiring senior developers.,29-33,Indeed,Senior Software Developer
45,Southside Digital,"Adelaide, Australia",Australia,https://www.southsidedigital.com,hello@southsidedigital.com,general,"Adelaide full-service digital agency for websites, SEO and social.",1-20,Indeed,Web Designer
46,The Start,"Perth, Australia",Australia,https://thestart.com.au,hi@thestart.com.au,general,"Award-winning Perth design, web and AI studio.",14-16,LinkedIn,Web Developer
47,WA Primary Health Alliance - WAPHA,"Perth, Western Australia, Australia",Australia,https://www.wapha.org.au,info@wapha.org.au,info / contact,Healthtech / digital health software company hiring engineers.,51-100,LinkedIn,Data Engineer
48,WorkingMouse,"Brisbane, Australia",Australia,https://www.workingmouse.com.au,info@workingmouse.com.au,engineering leadership,Brisbane software engineering agency modernising legacy systems into cloud apps.,<100,Indeed,Full Stack Developer
49,XPT Software Australia,"Perth, Western Australia, Australia",Australia,https://xptsoftware.com.au/,info@xptsoftware.com,info / contact,Mobile app studio or product company hiring mobile engineers.,51-100,LinkedIn,Flutter Developer
50,Zanity,"Adelaide / Melbourne, Australia",Australia,https://zanity.com.au,info@zanity.com.au,technical lead,Full-service web and marketing agency hiring Magento/PHP developers.,<100,Indeed,Magento Developer
51,Aarorn Technologies Inc,"Montreal, Quebec, Canada",Canada,https://www.aarorn.com,hello@aarorn.com,hello / general,Software company / tech team hiring developers (sourced via LinkedIn Jobs).,11-50,LinkedIn,Python fullstack developer with Gen AI
52,AMAEKA TECHNOLOGIES,"Manchester, Ontario, Canada",Canada,https://amaeka.com/,hello@amaeka.com; cok@amaeka.com; blr@amaeka.com,hello / general,Mobile app studio or product company hiring mobile engineers.,11-50,LinkedIn,React Native Developer
53,Blair Health,"Toronto, Ontario, Canada",Canada,https://blairhealth.ca,hello@blairhealth.ca; hello@blairhealth.ca\; support@blairhealth.ca,hello / general,Healthtech / digital health software company hiring engineers.,2-10,LinkedIn,Vice President of Engineering
54,Carré Technologies Inc.,"Montreal, Quebec, Canada",Canada,https://www.hexoskin.com,support@hexoskin.com,support / ops,WordPress / web development company or agency hiring CMS and custom web developers.,11-50,LinkedIn,Jobs - Frontend - Web Application Developer
55,Creative Guild,"Hamilton, Ontario, Canada",Canada,https://www.creativeguild.ca,ideas@creativeguild.ca,public inbox,Digital agency hiring web/software developers.,11-50,LinkedIn,Full Stack Web Developer
56,Dominion Dynamics,"Ottawa, Ontario, Canada",Canada,https://www.defendthedominion.com,info@ddc2.com,info / contact,"Dominion Dynamics develops integrated autonomy, sensing, communications, and command-an...",51-100,LinkedIn,Software Engineer – Frontend
57,Gala Solutions,"Montreal, Quebec, Canada",Canada,https://www.galasolutions.ca/,info@galatechsolutions.com,info / contact,Mobile app studio or product company hiring mobile engineers.,51-100,LinkedIn,Full Stack Mobile Application Developer
58,Harmony AI (tryharmony.ai),"Rankin Location 15 D, Ontario, Canada",Canada,https://www.tryharmony.ai/,george@tryharmony.ai,public inbox,"AI Automation for Manufacturing. Harmony AI is an AI-native layer that runs your plant with real time data. Machines, softwar...",11-50,LinkedIn,Full-Stack Software Engineer
59,High Tech Genesis,"Ottawa, Ontario, Canada",Canada,https://www.HighTechGenesis.com,admin@hightechgenesis.com,public inbox,"At HTG, we are focused on providing engineering services specifically to the high-tech sector. As a trusted part...",51-100,LinkedIn,Marketing Coordinator
60,INNOVATIVE CODE LABS PVT. LTD.,"Special Area 3, Alberta, Canada",Canada,https://icodelabs.co,hello@icodelabs.co; hello@icodelabs.co\; hr@icodelabs.co,hello / general,WordPress / web development company or agency hiring CMS and custom web developers.,11-50,LinkedIn,Web Developers
61,Nanometrics Inc.,"Ottawa, Ontario, Canada",Canada,https://nanometrics.ca,stuartallardice@nanometrics.ca; tantaihung@nanometrics.ca; alastairfenwick@nanometrics.ca,public inbox,Healthtech / digital health software company hiring engineers.,51-100,LinkedIn,Intermediate Software Developer
62,Newprint,"Ottawa, Ontario, Canada",Canada,https://www.newprint.com,support@newprint.com,support / ops,Shopify / ecommerce software or agency team hiring for storefront and commerce engineering.,11-50,LinkedIn,Flutter UX UI Product Designer
63,Nialli Inc.,"Calgary, Alberta, Canada",Canada,https://www.nialli.com/,sales@nialli.com,public inbox,"At Nialli, we believe that technology doesn’t solve problems – people do. And that every great product starts with a problem that needs solvi...",11-50,LinkedIn,Front-End Web Developer
64,Options Consulting Solutions,"Toronto, Ontario, Canada",Canada,https://www.optionscs.com,options@optionscs.com,public inbox,WordPress / web development company or agency hiring CMS and custom web developers.,11-50,LinkedIn,Wordpress Developer
65,OXARO Inc.,"Ottawa, Ontario, Canada",Canada,https://www.oxaro.com,info@oxaro.com,info / contact,Digital agency hiring web/software developers.,51-100,LinkedIn,ServiceNow Experts
66,Q-Block Computing,"Ottawa, Ontario, Canada",Canada,https://www.q-block.ca,support@q-block.ca; qtask@q-block.ca; career@q-block.ca,careers / talent,Quantum Sensing - Networking - Computing | Q-Block Computing builds quantum computers to decode Nature&#...,11-50,LinkedIn,Information Systems Specialist — Quantum Infrastructure
67,Quarry Consulting,Greater Ottawa Metropolitan Area,Canada,https://quarryconsulting.ca/,info@quarryconsulting.ca,info / contact,WordPress / web development company or agency hiring CMS and custom web developers.,11-50,LinkedIn,Java Web Developer
68,RBR,"Ottawa, Ontario, Canada",Canada,https://rbr-global.com/,info@rbr-global.com; support@rbr-global.com,info / contact,"We create instruments to measure the blue planet. From the ocean abyss to the polar ice cap, our sen...",51-100,LinkedIn,Senior Software Developer
69,Stem Health,"Toronto, Ontario, Canada",Canada,https://stemhealth.ca,care@stemhealth.ca,public inbox,Healthtech / digital health software company hiring engineers.,2-10,LinkedIn,Applied AI Engineer
70,Teifi Digital,"Vancouver, British Columbia, Canada",Canada,https://teifi.com,growth@teifi.com,public inbox,Shopify / ecommerce software or agency team hiring for storefront and commerce engineering.,51-100,LinkedIn,Ecommerce Business Analyst
71,The Concept Agency - Digital Marketing Agency,"Greater Toronto Area, Canada",Canada,https://theconceptagency.co,hello@readymag.com; support@readymag.com; edu@readymag.com,hello / general,Digital agency hiring web/software developers.,2-10,LinkedIn,Marketing Account Strategist
72,TrueContext,"Ottawa, Ontario, Canada",Canada,https://truecontext.com/,sales@truecontext.com,public inbox,TrueContext is the field service workflow platform for today’s connec...,51-100,LinkedIn,Software Engineer
73,Yeti Digital Labs,"Rankin Location 15 D, Ontario, Canada",Canada,https://yetidigitallabs.com/,nstewatiya@gmail.com; nstewatiya@gmail.com\,public inbox,Healthtech / digital health software company hiring engineers.,2-10,LinkedIn,Frontend Developer
74,GDS Africa,"Accra, Greater Accra Region, Ghana",Ghana,https://www.gdsafrica.com,info@gdsafrica.com,info / contact,GDS Africa is a full service IT company located in Ghana ...,51-100,LinkedIn,Middleware Integration Developer / Administrator
75,Abhi Ram Software Solutions Pvt. Ltd,"Bengaluru, Karnataka, India",India,https://abhiramsoft.com/,info@abhiramsoft.com,info / contact,Mobile app studio or product company hiring mobile engineers.,2-10,LinkedIn,Mobile Developer
76,Cloudstar Digital,Greater Chennai Area,India,https://cloudstar.digital/,hello@cloudstar.digital; cloudstar0987@gmail.com,hello / general,WordPress / web development company or agency hiring CMS and custom web developers.,11-50,LinkedIn,WordPress Developer
77,Codeleap Techno Solutions,Greater Hyderabad Area,India,https://www.codeleapsolutions.com/,info@codeleapsolutions.com,info / contact,Mobile app studio or product company hiring mobile engineers.,51-100,LinkedIn,Mobile App Developer (React Native)
78,Coditron Technologies,"Pimpri Chinchwad, Maharashtra, India",India,https://www.coditron.com,contact@coditron.com; sales@coditron.com,info / contact,Shopify / ecommerce software or agency team hiring for storefront and commerce engineering.,51-100,LinkedIn,WordPress Developer
79,Digital Tokri,Pune/Pimpri-Chinchwad Area,India,https://www.digitaltokri.com,hello@digitaltokri.com,hello / general,Digital agency hiring web/software developers.,11-50,LinkedIn,Web Developer
80,Disha: AI Health Coach,"Gurugram, Haryana, India",India,https://disha.health/,support@cure.link,support / ops,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Senior Software Engineer
81,Endowus,"Hyderabad, Telangana, India",India,https://www.endowus.com,institutional@endowus.com,public inbox,Digital agency hiring web/software developers.,51-100,LinkedIn,QA Engineering
82,ETCIO - Cloud Data Center,"Pune City, Maharashtra, India",India,https://cio.economictimes.indiatimes.com/,contactus@etauto.com; contactus@etretail.com; contactus@ethealthworld.com,public inbox,Healthtech / digital health software company hiring engineers.,51-100,LinkedIn,Kapittx- AI-Powered Accounts Receivable Automation & B2B Payments - Human Software Engineer (AI-Native Engineering Team) ( 0-0 yrs )
83,Infiria AI Pvt. Ltd.,"Ahmedabad, Gujarat, India",India,https://infiria.com/,info@infiria.com; info@infiria.com\; sales@infiria.com,info / contact,Shopify / ecommerce software or agency team hiring for storefront and commerce engineering.,2-10,LinkedIn,Shopify Developer
84,Kapittx- AI-Powered Accounts Receivable Automation & B2B Payments,"Pune District, Maharashtra, India",India,https://www.kapittx.com,sales@kapittx.com,public inbox,Fintech software company hiring engineers for financial products.,11-50,LinkedIn,Junior Manual Tester — Finance Domain
85,Magnet HR Tech Digital,"Ghaziabad, Uttar Pradesh, India",India,https://www.magnethrconsultingservices.com,magnethrconsultingservices@gmail.com,public inbox,Digital agency hiring web/software developers.,2-10,LinkedIn,Delivery Architect
86,Navinyaa Solutions,"Dodda Ballapur, Karnataka, India",India,https://navinyaa.com/,bms@navinyaa.com,public inbox,"Navinyaa Solutions is a premier, multi-disciplinary serv...",11-50,LinkedIn,Lead Full-Stack Tech Engineer
87,Pure Apps Information Technologies,"Bharuch, Gujarat, India",India,https://www.pureappsit.com/,info@pureappsit.com,info / contact,Mobile app studio or product company hiring mobile engineers.,11-50,LinkedIn,Mobile Developer
88,Purviv Labs,"Bengaluru, Karnataka, India",India,https://www.purviv.com/,support@purviv.com,support / ops,Shopify / ecommerce software or agency team hiring for storefront and commerce engineering.,11-50,LinkedIn,Shopify Developer
89,Qorvatech - Best Digital Marketing Agency in Noida (Delhi NCR),"Dadri, Uttar Pradesh, India",India,https://www.qorvatech.com,info@qorvatech.com,info / contact,WordPress / web development company or agency hiring CMS and custom web developers.,11-50,LinkedIn,Wordpress Developer
90,Runcode Software Solutions,"Hyderabad, Telangana, India",India,https://runcodesoft.com,info@runcode.in; info@runcodesoft.com,info / contact,Mobile app studio or product company hiring mobile engineers.,11-50,LinkedIn,Mobile Developer (React Native)
91,Seattle New Media,India,India,https://seattlenewmedia.com,contact@seattlenewmedia.com,info / contact,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Product Marketer
92,Trilokana Marketing Pvt Ltd,"Hyderabad, Telangana, India",India,https://trilokana.com,krishna@trilokana.com,public inbox,WordPress / web development company or agency hiring CMS and custom web developers.,11-50,LinkedIn,WordPress Developer (2+ years of experience)
93,Vahan.ai,"Bengaluru, Karnataka, India",India,https://vahan.ai,info@vahan.ai,info / contact,Vahan is at the forefront of leveraging AI to create meani...,51-100,LinkedIn,Senior Software Engineer
94,Varun Digital Media,"Hyderabad, Telangana, India",India,https://www.varundigitalmedia.com,info@varundigitalmedia.com,info / contact,Digital marketing agency with Hyderabad delivery hiring website development / web project managers.,51-100,LinkedIn,Website Development Manager / Web Project Manager
95,XCT Solutions Pvt. Ltd.,"Mumbai, Maharashtra, India",India,https://xct.co.in/,info@xct.co.in; support@name.com,info / contact,"We believe in optimizing our customers IT Infrastructure to enable them to scale their Business to meet the increasing demands. As an organization,...",51-100,LinkedIn,Tech Lead - Full Stack Developer
96,Zithara.AI,"Hyderabad, Telangana, India",India,https://www.zithara.ai,aisha.patel@techworld.com; javier.rodriguez@innovate.net; meiling.chen@globaltech.co,public inbox,Mobile app studio or product company hiring mobile engineers.,11-50,LinkedIn,Flutter Developer
97,Kitman Labs,"Dublin, County Dublin, Ireland",Ireland,https://kitmanlabs.com,support@kitmanlabs.com,support / ops,Kitman Labs is the world&#39;s leading sports science and performance intelligence company with an established track record of working wit...,51-100,LinkedIn,Software Engineer
98,Ocho,"Belfast, Northern Ireland, United Kingdom",Ireland,https://www.ochopeople.com,hello@ochopeople.com,hello / general,Ocho use the latest technology combined with over 100 years of combined experience scaling global tech businesses to bring dig...,11-50,LinkedIn,Java Software Engineer
99,Spanish Point Technologies,"Dublin, County Dublin, Ireland",Ireland,https://www.spanishpoint.ie,info@spanishpoint.ie; info@spanishpoint.ie\; u003einfo@spanishpoint.ie,info / contact,Spanish Point Technologies is a pioneeri...,51-100,LinkedIn,Senior Power Platform Developer (Power Pages)
100,Aeres Technologies Ltd,"Nairobi, Kenya",Kenya,,recruitment@aerestechnologies.co.ke,recruitment,Nairobi digital solutions firm hiring junior fullstack developers.,<50,LinkedIn,Junior Fullstack Developer
101,Arfa Technology Ltd,"Nairobi, Kenya",Kenya,https://arfatechnology.com/,sales@arfatechnology.com,sales,"Nairobi cybersecurity and digital-transformation firm (SOC/MDR, cloud security).",~5,LinkedIn,Senior Frontend Engineer
102,AURIC,Kenya (remote listing),Kenya,https://thinkauric.com/,info@thinkauric.com,info,Gym/payments software company hiring remote QA talent via Kenya LinkedIn jobs.,~5,LinkedIn,Junior Software Quality Assurance Engineer
103,Brupace Digital,"Nairobi, Kenya",Kenya,https://brupacedigital.africa/,info@brupacedigital.africa; hello@brupacedigital.africa,info / hello,"Nairobi creative tech agency for branding, UX/UI, and web/app development.",~12,LinkedIn,Senior Frontend Developer
104,ByteBoon,"Nairobi, Kenya",Kenya,,careers@byteboon.com,careers,Early-stage distributed systems / BoonOS startup hiring in Nairobi.,<20,LinkedIn,Software Engineer
105,Cherehani Africa,"Nairobi, Kenya",Kenya,https://cherehani.org,careers@cherehani.org,careers,Nairobi org hiring fullstack developers with AI integration focus.,1-20,LinkedIn,Full-Stack Developer (AI Integration)
106,Ciriz Digital Services,"Nairobi, Kenya",Kenya,https://cirizdigital.com/,hr@cirizdigital.com,hr,"Nairobi software shop building custom apps, websites, hosting, and integrations.",<50,LinkedIn,Web Developer
107,Daat AI,"Oserian Engineering, Nakuru, Kenya",Kenya,https://www.daatview.com/,team@daatview.com,public inbox,"Daat builds custom AI operating systems for businesses, connecting to the tools they already use and turning sca...",2-10,LinkedIn,Founding Engineer
108,eKitabu,"Nairobi, Kenya",Kenya,,support@ekitabu.com,support,Digital content and edtech company (~35) hiring software developers.,~35,LinkedIn,Software Developer
109,Ezra,"Nairobi, Kenya",Kenya,https://ezra.world/,info@ezra.world,info,Fintech credit-infrastructure provider with a Nairobi engineering/ops footprint.,~61,LinkedIn,Data Engineer
110,Forty Guard,"Nairobi, Kenya",Kenya,,hr@fortyguard.com,hr,AI automation and cybersecurity-adjacent company hiring remotely from Kenya.,<50,LinkedIn,Software Engineer
111,Hubitable,"Nairobi, Kenya",Kenya,,hi@hubitable.com,hi,Food/health engagement startup hiring software engineers in Nairobi.,<30,LinkedIn,Software Engineer
112,Ifkafin Systems,"Nairobi County, Kenya",Kenya,https://www.ifkafin.com,contact@ifkafin.com,info / contact,"At IfkaFin Systems, we develop cutting-edge, secure, and s...",2-10,LinkedIn,Product Designer - UI/UX & Product Video Content
113,KiliMax Software,"Nairobi, Kenya",Kenya,,georgina.muchoki@kilimax.com,hiring contact,Software/ops clarity startup hiring engineers in Kenya.,<50,LinkedIn,Software Engineer
114,Medbook Africa,"Nairobi, Kenya",Kenya,https://medbookafrica.com,info@medbookafrica.com; md@medbookafrica.com,info / md,Healthtech providing digital healthcare solutions for Kenyan communities and stakeholders.,<50,LinkedIn,Software Developer
115,Nathan Digital,"Nairobi, Kenya",Kenya,https://www.nathandigital.com,info@nathandigital.com,info,"ERP and digital solutions company (HRMS, CRM, accounting) with Kenya delivery presence.",<100,LinkedIn,Fullstack Developer
116,Nyansapo AI,"Nairobi, Kenya",Kenya,https://www.nyansapoai.app/,info@nyansapoai.net,info,Nairobi edtech startup using AI for literacy/numeracy assessments.,<50,LinkedIn,Full Stack Developer
117,Open Function (OpenFn),Kenya / London HQ,Kenya,https://www.openfn.org/,admin@openfn.org,admin,Open-source workflow automation platform for governments/NGOs with Kenya hiring.,~21,LinkedIn,Principal Software Engineer
118,Pawa IT Solutions,"Nairobi, Kenya",Kenya,https://pawait.africa/,support@pawait.africa; careers@pawait.africa,support / careers,Nairobi Google Cloud / Workspace partner and cloud solutions company.,~16,LinkedIn,Graphics & Web Designer
119,Paya Ventures Limited,"Nairobi, Kenya",Kenya,https://www.paya.co.ke/,support@paya.co.ke,support,"Kenya fintech for digital banking, payments APIs, and Buy Now Pay Later.",~50,LinkedIn,Full Stack Engineer
120,Pezesha,"Nairobi, Kenya",Kenya,https://pezesha.com,hello@pezesha.com; jobs@pezesha.com,hello / jobs,MSME embedded finance platform (CBK DCP) for credit and payments.,<100,LinkedIn,Software Engineer
121,PIPOSOFT,"Nairobi, Kenya",Kenya,https://piposoft.co.ke,sales@piposoft.co.ke; connect@piposoft.co.ke,sales,Kenya SME/startup talent acquisition agency posting engineering roles.,<50,LinkedIn,Full Stack Engineer
122,PowWater,"Nairobi, Kenya",Kenya,,recruitment@powwater.com,recruitment,Water access tech startup hiring React engineers in Nairobi.,<50,LinkedIn,React Developer
123,Purple Elephant Ventures,"Nairobi, Kenya",Kenya,,hr@purpleelephant.ventures,hr,"Tech studio building products across ecommerce, fintech, and tourism.",<50,LinkedIn,Senior Engineer
124,Share,"Nairobi, Kenya",Kenya,https://share.inc/,partnerships@share.inc,partnerships,Decentralized/open-access internet network startup with Kenya engineering hiring.,~11,LinkedIn,Founding Engineer
125,Sinbad,"Nairobi, Kenya",Kenya,,careers@sinbad.co.ke,careers,Kenya tech company advertising engineering roles via careers inbox.,<50,LinkedIn,Software Engineer
126,TechGetAfrica,"Nairobi, Kenya",Kenya,https://techgetafrica.com/,hello@techgetafrica.com,hello,"Kenya tech training, software delivery (MVP pods), and talent placement company.",~3,LinkedIn,Senior Fullstack Engineer
127,Tezza Business Solutions,"Nairobi, Kenya",Kenya,https://tezzasolutions.com/,info@tezzasolutions.com,info,"IT services firm for software engineering, QA, cybersecurity, and automation.",~58,LinkedIn,Mid Level Springboot Engineer
128,Tunga,"Nairobi, Kenya",Kenya,https://tunga.io,hello@tunga.io,hello,African IT talent matching platform helping companies source software professionals.,<100,LinkedIn,Founding Full-Stack Engineer
129,Twiva,"Nairobi, Kenya",Kenya,https://twiva.com,info@twiva.co.ke,info,Creator and social commerce platform connecting brands with influencers.,11-50,LinkedIn,Software Engineer
130,Umba,"Nairobi, Kenya",Kenya,https://umba.com/,support@umba.com; management@umba.com,support / management,Nairobi-based digital bank/fintech building lending and payments products.,~58,LinkedIn,Senior Backend Engineer
131,Xobriq Technologies Limited,"Nairobi, Kenya",Kenya,,hr@xobriq.com,hr,"Early-stage cybersecurity, AI, and payments technology company.",<30,LinkedIn,Software Engineer
